id,name
55057,Ngāmotu-a-te-Ahimaire Bush
3972,Ngā Motu / Sugar Loaf Islands
56642,Ngā Motu / Sugar Loaf Islands Conservation Park
55715,Ngā Motu / Sugar Loaf Islands Sanctuary
54761,Ngā Pona-toru-a-Peretū Scenic Reserve
32415,Ngāpōpōhia
32416,Ngāpōtiki
58034,Ngā Puha-ake-o-te-ora
7378,Ngāpuka Bay
32451,Ngārarahiwihiwi Stream
32454,Ngārarapapa Stream
55576,Ngā Rimutāmaka
7538,Ngāroto
58959,Ngā Roto-o-Rangataua Scenic Reserve
55583,Ngā Roto-o-Te-Kaponga Wetlands
32476,Ngārua Caves
32480,Ngāruawāhia
55222,Ngārui-o-te-Marangai Beach
32503,Ngātapa
32504,Ngātapa
32506,Ngātapa Stream
32526,Ngātīmoti
32533,Ngātohuahira
55889,Ngātoko Stream
14215,Ngātoro Basin
14216,Ngātoro Canyon
55536,Ngātoroirangi Seamount
4011,Ngātoro Peak
14217,Ngātoro Ridge
4012,Ngātoru Stream
54566,Ngā Tuaitara-a-Taikehu
32559,Ngāturuturu
55058,Ngāumu Forest
32566,Ngauotekākā
32585,Ngāwakapātiki Stream
55724,Ngāwhakaraua
32599,Ngāwhakatarara Stream
32601,Ngāwhakatātara
32602,Ngāwhakawhiti Bay
32613,Ngongotahā
32614,Ngongotahā
32615,Ngongotahā Stream
32616,Ngongotahā Valley
32621,Ngūroa Bay
32682,Nīkau Creek
58689,Nohotūroa
32763,Nōpera
32836,North Mākara Stream
32841,North Ōhau River
14218,North Paritū Ridge
32901,Nūhaka
54938,Nūhaka Forest
32902,Nūhaka River
32929,Ōakura
32930,Ōakura
4092,Ōakura Bay
32931,Ōakura Bay
32933,Ōakura Stream
32936,Ōamaru Bay
32937,Ōamaru Bay
56604,Ōamaru Peak
32939,Ōamaru River
32940,Ōamaru Stream
32941,Ōananga Bay
32950,Ōariki Stream
32953,Ōatua
32992,Ōhaeawai
32998,Ōhaiatangaora Stream
55610,Ōhane Stream
33033,Ōharuru
33034,Ōhau
33035,Ōhau Bay
33037,Ōhau Channel
55060,Ōhau Forest
33038,Ōhau Gorge
33039,Ōhau Hill
33061,Ōhauparuparu Bay
56605,Ōhau Peak
33063,Ōhaupō
33042,Ōhau Point
33043,Ōhau Point
33044,Ōhau Point
33046,Ōhau River
33047,Ōhau River
33050,Ōhau Stream
33051,Ōhau Stream
33053,Ōhau Stream
33049,Ōhau Stream
33052,Ōhau Stream
55209,Ōhau / West Island
58766,Ōhekeia
54702,Ōhena Knoll
33080,Ōhikaiti River
33082,Ōhikanui River
33085,Ōhineakai
54593,Ōhinemahuta River
33101,Ōhinepaka
4134,Ōhinerau
54542,Ōhinerau / Mount Hobson
58334,Ōhinetahi
33116,Ōhinetamatea River / Saltwater Creek
33133,Ōhingaiti
33134,Ōhingaroa Bay
58491,Ōhīrea
58802,Ōhiriru
33144,Ōhiwa
33145,Ōhiwa Harbour
4140,Ōhope
33153,Ōhope Beach
58632,Ōhoumata
54548,Ōhuiarangi / Pigeon Mountain
33177,Ōhura
33178,Ōhura River
33207,Ōkahau Point
33233,Ōkahuatiu
55061,Ōkahukura Bush
7384,Ōkahutoroa Bay
57753,Ō kaihae
33248,Ōkaihau
33249,Ōkaihau
33251,Ōkaihau Stream
58735,Ōkākā
33260,Ōkākaho Stream
33273,Ōkapua Creek
55062,Ōkara Forest
33281,Ōkaranga Stream
58643,Ōkare
58641,Ōkare
33289,Ōkārewa Point
33291,Ōkari Lagoon
33292,Ōkari River
7204,Ōkārito
7207,Ōkāritoiti / Lake Windermere
7205,Ōkārito Lagoon
7206,Ōkārito River
33302,Ōkato
33313,Ōkaura Stream
33305,Ōkau Stream
7387,Ōkawa Bay
7388,Ōkere Inlet
58335,Ōketeupoko
